Amount,Hour,y_true,y_proba,y_pred
23.0,20.0,0,1.2078542e-05,0
11.85,5.0,0,7.996239e-06,0
76.07,0.0,0,8.636859e-05,0
0.99,15.0,0,1.2575142e-06,0
1.5,10.0,0,0.00027950073,0
8.99,18.0,0,9.8265686e-05,0
52.0,20.0,0,2.0154454e-05,0
3.59,11.0,0,1.8091596e-05,0
27.92,14.0,0,2.9788536e-05,0
95.25,14.0,0,2.8296801e-05,0
1222.48,16.0,0,4.667449e-05,0
301.82,6.0,0,0.00013234274,0
56.18,16.0,0,5.3298707e-05,0
4.56,12.0,0,8.5349595e-05,0
1.79,17.0,0,8.869839e-05,0
1.98,18.0,0,6.824932e-07,0
264.0,13.0,0,0.0007711202,0
4.0,3.0,0,1.8385534e-06,0
69.0,20.0,0,1.8262529e-06,0
1.0,15.0,0,6.61566e-05,0
187.45,11.0,0,0.0001440541,0
70.0,19.0,0,0.015808053,0
11.5,0.0,0,1.7926757e-05,0
0.89,17.0,0,7.970421e-06,0
15.0,19.0,0,3.1821328e-05,0
0.89,12.0,0,7.917518e-05,0
1.0,0.0,0,1.1753191e-06,0
11.99,18.0,0,0.00034631733,0
68.78,20.0,0,6.265847e-06,0
25.0,3.0,0,7.013336e-06,0
1.0,11.0,0,0.0006318529,0
1.5,10.0,0,6.9377e-05,0
10.0,11.0,0,3.904791e-06,0
0.99,10.0,0,0.00013328166,0
5.2,20.0,0,1.3897015e-05,0
52.88,7.0,0,6.1364276e-06,0
93.39,22.0,0,5.162504e-06,0
57.1,13.0,0,1.2525994e-05,0
42.87,20.0,0,8.675525e-06,0
13.32,21.0,0,3.026299e-05,0
61.18,12.0,0,0.00015800986,0
29.68,14.0,0,2.831173e-06,0
1.78,8.0,0,2.1788923e-05,0
20.13,19.0,0,1.9624151e-06,0
129.0,12.0,0,0.00013682626,0
3.7,16.0,0,0.00065014977,0
14.75,10.0,0,4.2797822e-07,0
151.29,11.0,0,5.361732e-05,0
29.9,11.0,0,1.6580732e-05,0
598.75,15.0,0,7.4545635e-05,0
41.59,8.0,0,5.5085934e-06,0
130.0,19.0,0,5.4875577e-06,0
50.0,13.0,0,1.5707605e-05,0
191.78,6.0,0,7.71526e-06,0
80.22,20.0,0,0.00010960345,0
50.0,13.0,0,1.0984452e-05,0
13.74,18.0,0,1.6526775e-06,0
1.0,17.0,0,9.045574e-06,0
1352.14,15.0,0,0.0005228008,0
